update_timestamp,effective_date,infections_published_daily,app_downloads_cumulated,app_downloads_android_cumulated,app_downloads_ios_cumulated,app_downloads_daily,app_downloads_android_daily,app_downloads_ios_daily,app_downloads_7days_avg,app_downloads_android_7days_avg,app_downloads_ios_7days_avg,app_downloads_7days_sum,app_downloads_android_7days_sum,app_downloads_ios_7days_sum
"2022-07-05T08:21:58,913",2020-06-06,407,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-07,301,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-08,214,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-09,350,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-10,318,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-11,555,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-12,258,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-13,348,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-14,247,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-06-15,192,,734286,0,734282,734282,0,183571.5,183571.5,0.0,734286,734286,0
"2022-07-05T08:21:58,913",2020-06-16,378,6962353,3648270,3314083,6228067,2913984,3314083,1392470.6,729654.0,662816.6,6962353,3648270,3314083
"2022-07-05T08:21:58,913",2020-06-17,345,9131505,4666055,4465450,2169152,1017785,1151367,1521917.5,777675.8333333334,744241.6666666666,9131505,4666055,4465450
"2022-07-05T08:21:58,913",2020-06-18,580,10149028,5167973,4981055,1017523,501918,515605,1449861.142857143,738281.8571428572,711579.2857142857,10149028,5167973,4981055
"2022-07-05T08:21:58,913",2020-06-19,770,10804229,5500093,5304136,655201,332120,323081,1543461.142857143,785727.4285714285,757733.7142857143,10804228,5500092,5304136
"2022-07-05T08:21:58,913",2020-06-20,601,11321473,5823646,5497827,517244,323553,193691,1617352.857142857,831949.0,785403.8571428572,11321470,5823643,5497827
"2022-07-05T08:21:58,913",2020-06-21,687,11805046,6132212,5672834,483573,308566,175007,1686434.5714285714,876029.7142857143,810404.8571428572,11805042,6132208,5672834
"2022-07-05T08:21:58,913",2020-06-22,537,12199671,6335609,5864062,394625,203397,191228,1637912.142857143,800189.0,837723.1428571428,11465385,5601323,5864062
"2022-07-05T08:21:58,913",2020-06-23,503,12608257,6531828,6076429,408586,196219,212367,806557.7142857143,411936.85714285716,394620.85714285716,5645904,2883558,2762346
"2022-07-05T08:21:58,913",2020-06-24,587,12981185,6733955,6247230,372928,202127,170801,549954.2857142857,295414.28571428574,254540.0,3849680,2067900,1781780
"2022-07-05T08:21:58,913",2020-06-25,630,13331645,6927217,6404428,350460,193262,157198,454659.5714285714,251320.57142857142,203339.0,3182617,1759244,1423373
"2022-07-05T08:21:58,913",2020-06-26,477,13611895,7088324,6523571,280250,161107,119143,401095.14285714284,226890.14285714287,174205.0,2807666,1588231,1219435
"2022-07-05T08:21:58,913",2020-06-27,687,13817315,7228907,6588408,205420,140583,64837,356548.85714285716,200751.57142857142,155797.2857142857,2495842,1405261,1090581
"2022-07-05T08:21:58,913",2020-06-28,256,14029732,7373118,6656614,212417,144211,68206,317812.28571428574,177272.2857142857,140540.0,2224686,1240906,983780
"2022-07-05T08:21:58,913",2020-06-29,262,14220318,7474812,6745506,190586,101694,88892,288663.85714285716,162743.2857142857,125920.57142857143,2020647,1139203,881444
"2022-07-05T08:21:58,913",2020-06-30,498,14372806,7560321,6812485,152488,85509,66979,252078.42857142858,146927.57142857142,105150.85714285714,1764549,1028493,736056
"2022-07-05T08:21:58,913",2020-07-01,466,14523620,7626586,6897034,150814,66265,84549,220347.85714285713,127518.71428571429,92829.14285714286,1542435,892631,649804
"2022-07-05T08:21:58,913",2020-07-02,503,14653333,7695591,6957742,129713,69005,60708,188812.57142857142,109767.71428571429,79044.85714285714,1321688,768374,553314
"2022-07-05T08:21:58,913",2020-07-03,446,14798270,7786013,7012257,144937,90422,54515,169482.14285714287,99669.85714285714,69812.28571428571,1186375,697689,488686
"2022-07-05T08:21:58,913",2020-07-04,422,14912020,7858397,7053623,113750,72384,41366,156386.42857142858,89927.14285714286,66459.28571428571,1094705,629490,465215
"2022-07-05T08:21:58,913",2020-07-05,239,15018018,7928199,7089819,105998,69802,36196,141183.7142857143,79297.28571428571,61886.42857142857,988286,555081,433205
"2022-07-05T08:21:58,913",2020-07-06,219,15140739,7998946,7141793,122721,70747,51974,131488.7142857143,74876.28571428571,56612.42857142857,920421,524134,396287
"2022-07-05T08:21:58,913",2020-07-07,390,15258015,8049752,7208263,117276,50806,66470,126458.42857142857,69918.71428571429,56539.71428571428,885209,489431,395778
"2022-07-05T08:21:58,913",2020-07-08,397,15376910,8097204,7279706,118895,47452,71443,121898.57142857143,67231.14285714286,54667.42857142857,853290,470618,382672
"2022-07-05T08:21:58,913",2020-07-09,442,15444142,8140073,7304069,67232,42869,24363,112972.71428571429,63497.42857142857,49475.28571428572,790809,444482,346327
"2022-07-05T08:21:58,913",2020-07-10,395,15504221,8177710,7326511,60079,37637,22442,100850.14285714286,55956.71428571428,44893.42857142857,705951,391697,314254
